starttime	seconds	ctime	dtime	ttime	wait
Tue Jun 07 19:56:59 2022	1654606619	0	0	0	0
Tue Jun 07 19:56:59 2022	1654606619	0	0	0	0
Tue Jun 07 19:56:59 2022	1654606619	0	0	0	0
Tue Jun 07 19:56:59 2022	1654606619	0	0	0	0
Tue Jun 07 19:56:59 2022	1654606619	0	0	0	0
Tue Jun 07 19:56:59 2022	1654606619	0	0	0	0
Tue Jun 07 19:56:59 2022	1654606619	0	0	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	0	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	0	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	0	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	0	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	0	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	0	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	0	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	0	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	0	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	0	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	0	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	0	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	0	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	0	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	0	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	0	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	0	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	0	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	0	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	0	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	0	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	0	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	0	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	0	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	0	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	0	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	0	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	0	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	0	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	0	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	0
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	1	1
