starttime	seconds	ctime	dtime	ttime	wait
Tue Jun 07 19:56:41 2022	1654606601	0	0	0	0
Tue Jun 07 19:56:41 2022	1654606601	0	0	0	0
Tue Jun 07 19:56:42 2022	1654606602	0	0	0	0
Tue Jun 07 19:56:42 2022	1654606602	0	0	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	0	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	0	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	0	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	0	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	0	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	0	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	0	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	0	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	0	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	0	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	0	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	0	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	0	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	0	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	0	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	0	1	0
Tue Jun 07 19:56:42 2022	1654606602	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	0	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	0	1	0
Tue Jun 07 19:56:42 2022	1654606602	0	1	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	0	1	0
Tue Jun 07 19:56:42 2022	1654606602	0	1	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	0	1	0
Tue Jun 07 19:56:42 2022	1654606602	0	0	1	0
Tue Jun 07 19:56:42 2022	1654606602	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	0	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	0	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	0	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	0	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	0	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	0	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	0	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	0
Tue Jun 07 19:56:42 2022	1654606602	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	0	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	0	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	0	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:42 2022	1654606602	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	0	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	0
Tue Jun 07 19:56:42 2022	1654606602	0	1	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	0
Tue Jun 07 19:56:42 2022	1654606602	0	1	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:42 2022	1654606602	0	1	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	0	1	0
Tue Jun 07 19:56:42 2022	1654606602	0	1	1	0
Tue Jun 07 19:56:42 2022	1654606602	0	1	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	0
Tue Jun 07 19:56:42 2022	1654606602	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:42 2022	1654606602	0	1	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
